"","BldgType","SalePrice","YearBuilt"
"983","1Fam",159895,2007
"984","1Fam",255900,2002
"985","Duplex",126000,1977
"986","2fmCon",125000,1950
"987","1Fam",117000,1910
"988","1Fam",395192,2009
"989","1Fam",195000,1976
"990","1Fam",197000,2006
"991","1Fam",348000,1997
"992","1Fam",168000,1882
"993","1Fam",187000,1964
"994","1Fam",173900,2005
"995","1Fam",337500,2006
"996","1Fam",121600,1946
"997","1Fam",136500,1961
"998","1Fam",185000,1970
"999","1Fam",91000,1922
"1000","1Fam",206000,2006
"1001","1Fam",82000,1952
"1002","1Fam",86000,1920
"1003","1Fam",232000,2006
"1004","Duplex",136905,1976
"1005","TwnhsE",181000,2005
"1006","1Fam",149900,1977
"1007","1Fam",163500,1970
"1008","TwnhsE",88000,1970
"1009","1Fam",240000,2004
"1010","1Fam",102000,1926
"1011","1Fam",135000,1948
"1012","Duplex",100000,1965
"1013","1Fam",165000,1923
"1014","1Fam",85000,1910
"1015","1Fam",119200,1948
"1016","1Fam",227000,2001
"1017","1Fam",203000,1996
"1018","TwnhsE",187500,1984
"1019","1Fam",160000,1991
"1020","TwnhsE",213490,2005
"1021","1Fam",176000,2005
"1022","1Fam",194000,2006
"1023","1Fam",87000,1930
"1024","TwnhsE",191000,2005
"1025","1Fam",287000,1976
"1026","1Fam",112500,1972
"1027","1Fam",167500,1960
"1028","1Fam",293077,2007
"1029","1Fam",105000,1941
"1030","Twnhs",118000,1972
"1031","2fmCon",160000,1916
"1032","1Fam",197000,1920
"1033","1Fam",310000,1993
"1034","1Fam",230000,2002
"1035","1Fam",119750,1938
"1036","1Fam",84000,1957
"1037","1Fam",315500,2007
"1038","1Fam",287000,2001
"1039","Twnhs",97000,1970
"1040","TwnhsE",80000,1970
"1041","1Fam",155000,1957
"1042","1Fam",173000,1966
"1043","Twnhs",196000,2005
"1044","1Fam",262280,1990
"1045","1Fam",278000,1981
"1046","1Fam",139600,1955
"1047","1Fam",556581,2005
"1048","1Fam",145000,1994
"1049","1Fam",115000,1960
"1050","1Fam",84900,1946
"1051","1Fam",176485,2007
"1052","1Fam",200141,2007
"1053","1Fam",165000,1964
"1054","1Fam",144500,1957
"1055","1Fam",255000,2002
"1056","1Fam",180000,1976
"1057","TwnhsE",185850,2005
"1058","1Fam",248000,1994
"1059","1Fam",335000,2008
"1060","1Fam",220000,1932
"1061","TwnhsE",213500,2001
"1062","1Fam",81000,1935
"1063","2fmCon",90000,1900
"1064","1Fam",110500,1925
"1065","1Fam",154000,1966
"1066","1Fam",328000,1996
"1067","1Fam",178000,1993
"1068","1Fam",167900,1964
"1069","TwnhsE",151400,1973
"1070","1Fam",135000,1949
"1071","1Fam",135000,1956
"1072","1Fam",154000,1968
"1073","1Fam",91500,1948
"1074","1Fam",159500,1977
"1075","1Fam",194000,2006
"1076","1Fam",219500,1940
"1077","1Fam",170000,1936
"1078","1Fam",138800,1969
"1079","TwnhsE",155900,2004
"1080","1Fam",126000,1994
"1081","1Fam",145000,1971
"1082","1Fam",133000,1963
"1083","1Fam",192000,2002
"1084","1Fam",160000,1964
"1085","1Fam",187500,1995
"1086","1Fam",147000,1992
"1087","TwnhsE",83500,1973
"1088","1Fam",252000,2005
"1089","Twnhs",137500,2004
"1090","TwnhsE",197000,2005
"1091","Duplex",92900,1950
"1092","Twnhs",160000,1999
"1093","1Fam",136500,1925
"1094","1Fam",146000,1965
"1095","1Fam",129000,1956
"1096","1Fam",176432,2006
"1097","1Fam",127000,1914
"1098","TwnhsE",170000,1986
"1099","1Fam",128000,1936
"1100","1Fam",157000,1978
"1101","1Fam",60000,1920
"1102","1Fam",119500,1971
"1103","1Fam",135000,1960
"1104","1Fam",159500,1959
"1105","TwnhsE",106000,1970
"1106","1Fam",325000,1994
"1107","1Fam",179900,1990
"1108","1Fam",274725,2006
"1109","1Fam",181000,2000
"1110","1Fam",280000,2004
"1111","1Fam",188000,1995
"1112","1Fam",205000,1976
"1113","1Fam",129900,1957
"1114","1Fam",134500,1953
"1115","1Fam",117000,1954
"1116","1Fam",318000,2007
"1117","1Fam",184100,2002
"1118","1Fam",130000,1967
"1119","1Fam",140000,1958
"1120","1Fam",133700,1959
"1121","1Fam",118400,1920
"1122","1Fam",212900,2005
"1123","1Fam",112000,1956
"1124","1Fam",118000,1947
"1125","1Fam",163900,1992
"1126","1Fam",115000,1955
"1127","TwnhsE",174000,2007
"1128","1Fam",259000,2004
"1129","1Fam",215000,2004
"1130","Duplex",140000,1980
"1131","1Fam",135000,1928
"1132","1Fam",93500,1991
"1133","1Fam",117500,1880
"1134","1Fam",239500,1995
"1135","1Fam",169000,1997
"1136","1Fam",102000,1926
"1137","1Fam",119000,1950
"1138","1Fam",94000,1875
"1139","1Fam",196000,1977
"1140","1Fam",144000,1920
"1141","1Fam",139000,1951
"1142","1Fam",197500,1976
"1143","1Fam",424870,2006
"1144","1Fam",80000,1959
"1145","2fmCon",80000,1941
"1146","1Fam",149000,1928
"1147","1Fam",180000,1985
"1148","1Fam",174500,1941
"1149","1Fam",116900,1926
"1150","1Fam",143000,1920
"1151","1Fam",124000,1950
"1152","1Fam",149900,1959
"1153","1Fam",230000,1956
"1154","1Fam",120500,1930
"1155","1Fam",201800,1965
"1156","1Fam",218000,1976
"1157","1Fam",179900,1965
"1158","Twnhs",230000,2007
"1159","1Fam",235128,2007
"1160","1Fam",185000,1974
"1161","Twnhs",146000,1978
"1162","1Fam",224000,1954
"1163","1Fam",129000,1968
"1164","Duplex",108959,1969
"1165","1Fam",194000,1978
"1166","1Fam",233170,2009
"1167","1Fam",245350,2008
"1168","1Fam",173000,2000
"1169","1Fam",235000,1935
"1170","1Fam",625000,1995
"1171","1Fam",171000,1977
"1172","1Fam",163000,1958
"1173","TwnhsE",171900,2006
"1174","1Fam",200500,1946
"1175","1Fam",239000,1932
"1176","1Fam",285000,1992
"1177","1Fam",119500,1984
"1178","1Fam",115000,1926
"1179","1Fam",154900,1921
"1180","1Fam",93000,1954
"1181","1Fam",250000,1990
"1182","TwnhsE",392500,2008
"1183","1Fam",745000,1996
"1184","1Fam",120000,1920
"1185","1Fam",186700,1963
"1186","1Fam",104900,1924
"1187","2fmCon",95000,1900
"1188","1Fam",262000,1994
"1189","1Fam",195000,2002
"1190","1Fam",189000,1999
"1191","2fmCon",168000,1961
"1192","Twnhs",174000,1999
"1193","1Fam",125000,1925
"1194","TwnhsE",165000,1999
"1195","1Fam",158000,1969
"1196","1Fam",176000,2005
"1197","1Fam",219210,2006
"1198","1Fam",144000,1916
"1199","1Fam",178000,2001
"1200","1Fam",148000,1963
"1201","1Fam",116050,1970
"1202","1Fam",197900,1998
"1203","1Fam",117000,1925
"1204","1Fam",213000,2000
"1205","1Fam",153500,1975
"1206","1Fam",271900,1990
"1207","1Fam",107000,1966
"1208","1Fam",200000,2003
"1209","1Fam",140000,1962
"1210","1Fam",290000,2006
"1211","1Fam",189000,1992
"1212","1Fam",164000,1988
"1213","1Fam",113000,1941
"1214","1Fam",145000,1965
"1215","1Fam",134500,1962
"1216","1Fam",125000,1966
"1217","Duplex",112000,1978
"1218","1Fam",229456,2009
"1219","1Fam",80500,1947
"1220","Twnhs",91500,1971
"1221","1Fam",115000,1964
"1222","1Fam",134000,1968
"1223","1Fam",143000,1949
"1224","1Fam",137900,1951
"1225","1Fam",184000,2004
"1226","1Fam",145000,1958
"1227","1Fam",214000,2007
"1228","1Fam",147000,1965
"1229","TwnhsE",367294,2008
"1230","1Fam",127000,1960
"1231","Duplex",190000,1977
"1232","Duplex",132500,1962
"1233","Duplex",101800,1962
"1234","1Fam",142000,1959
"1235","1Fam",130000,1911
"1236","1Fam",138887,1914
"1237","Twnhs",175500,2003
"1238","1Fam",195000,2004
"1239","1Fam",142500,2005
"1240","1Fam",265900,2006
"1241","1Fam",224900,2003
"1242","1Fam",248328,2007
"1243","1Fam",170000,1974
"1244","1Fam",465000,2006
"1245","1Fam",230000,1929
"1246","1Fam",178000,1984
"1247","1Fam",186500,2005
"1248","1Fam",169900,1976
"1249","1Fam",129500,1917
"1250","1Fam",119000,1950
"1251","1Fam",244000,1968
"1252","TwnhsE",171750,2003
"1253","1Fam",130000,1968
"1254","1Fam",294000,1974
"1255","1Fam",165400,2003
"1256","1Fam",127500,1931
"1257","1Fam",301500,1994
"1258","1Fam",99900,1922
"1259","1Fam",190000,2005
"1260","1Fam",151000,1969
"1261","1Fam",181000,1999
"1262","1Fam",128900,1956
"1263","1Fam",161500,1957
"1264","1Fam",180500,1919
"1265","TwnhsE",181000,1998
"1266","TwnhsE",183900,1999
"1267","2fmCon",122000,1910
"1268","1Fam",378500,2008
"1269","1Fam",381000,1935
"1270","1Fam",144000,1958
"1271","1Fam",260000,1979
"1272","1Fam",185750,1968
"1273","1Fam",137000,1965
"1274","1Fam",177000,1959
"1275","1Fam",139000,1910
"1276","Duplex",137000,1948
"1277","1Fam",162000,1972
"1278","1Fam",197900,1967
"1279","1Fam",237000,2002
"1280","1Fam",68400,1920
"1281","1Fam",227000,2002
"1282","1Fam",180000,1990
"1283","1Fam",150500,1977
"1284","Duplex",139000,1971
"1285","1Fam",169000,1919
"1286","1Fam",132500,1939
"1287","1Fam",143000,1963
"1288","1Fam",190000,1964
"1289","TwnhsE",278000,2000
"1290","1Fam",281000,2006
"1291","1Fam",180500,1964
"1292","Twnhs",119500,1972
"1293","1Fam",107500,1892
"1294","1Fam",162900,1976
"1295","1Fam",115000,1955
"1296","1Fam",138500,1968
"1297","1Fam",155000,1963
"1298","TwnhsE",140000,2005
"1299","1Fam",160000,2008
"1300","1Fam",154000,1959
"1301","1Fam",225000,1999
"1302","1Fam",177500,1942
"1303","1Fam",290000,1994
"1304","1Fam",232000,2005
"1305","TwnhsE",130000,2004
"1306","1Fam",325000,2006
"1307","TwnhsE",202500,2005
"1308","1Fam",138000,1994
"1309","1Fam",147000,1948
"1310","1Fam",179200,1991
"1311","1Fam",335000,1959
"1312","1Fam",203000,2005
"1313","1Fam",302000,1990
"1314","1Fam",333168,1999
"1315","1Fam",119000,1954
"1316","1Fam",206900,1969
"1317","1Fam",295493,2008
"1318","TwnhsE",208900,2006
"1319","1Fam",275000,2001
"1320","1Fam",111000,1954
"1321","1Fam",156500,1957
"1322","1Fam",72500,1949
"1323","1Fam",190000,1992
"1324","1Fam",82500,1940
"1325","1Fam",147000,2006
"1326","1Fam",55000,1922
"1327","1Fam",79000,1931
"1328","1Fam",130500,1982
"1329","1Fam",256000,1920
"1330","1Fam",176500,1998
"1331","1Fam",227000,2006
"1332","1Fam",132500,1976
"1333","1Fam",100000,1938
"1334","1Fam",125500,1938
"1335","TwnhsE",125000,1970
"1336","1Fam",167900,1977
"1337","Duplex",135000,1973
"1338","1Fam",52500,1941
"1339","1Fam",200000,2002
"1340","1Fam",128500,1972
"1341","1Fam",123000,1971
"1342","1Fam",155000,2003
"1343","1Fam",228500,2002
"1344","1Fam",177000,1928
"1345","1Fam",155835,2006
"1346","1Fam",108500,1920
"1347","1Fam",262500,1968
"1348","1Fam",283463,2006
"1349","1Fam",215000,1998
"1350","1Fam",122000,1872
"1351","Duplex",200000,1969
"1352","1Fam",171000,1962
"1353","1Fam",134900,1937
"1354","1Fam",410000,1995
"1355","1Fam",235000,2000
"1356","1Fam",170000,1968
"1357","1Fam",110000,1966
"1358","1Fam",149900,1971
"1359","Twnhs",177500,2000
"1360","1Fam",315000,2004
"1361","1Fam",189000,1921
"1362","1Fam",260000,2005
"1363","1Fam",104900,1920
"1364","1Fam",156932,2006
"1365","TwnhsE",144152,2005
"1366","1Fam",216000,2000
"1367","1Fam",193000,1999
"1368","TwnhsE",127000,1977
"1369","TwnhsE",144000,2003
"1370","1Fam",232000,2003
"1371","1Fam",105000,1920
"1372","1Fam",165500,1955
"1373","1Fam",274300,1998
"1374","1Fam",466500,2001
"1375","1Fam",250000,2005
"1376","1Fam",239000,2007
"1377","1Fam",91000,1930
"1378","1Fam",117000,1941
"1379","Twnhs",83000,1973
"1380","1Fam",167500,2006
"1381","1Fam",58500,1914
"1382","1Fam",237500,1970
"1383","1Fam",157000,1920
"1384","1Fam",112000,1918
"1385","1Fam",105000,1939
"1386","1Fam",125500,1922
"1387","1Fam",250000,1978
"1388","1Fam",136000,1916
"1389","1Fam",377500,2006
"1390","1Fam",131000,1941
"1391","1Fam",235000,2000
"1392","Duplex",124000,1967
"1393","1Fam",123000,1967
"1394","2fmCon",163000,1905
"1395","TwnhsE",246578,2006
"1396","1Fam",281213,2005
"1397","1Fam",160000,1948
"1398","1Fam",137500,1920
"1399","1Fam",138000,1950
"1400","1Fam",137450,1925
"1401","1Fam",120000,1929
"1402","1Fam",193000,2004
"1403","1Fam",193879,2006
"1404","1Fam",282922,2007
"1405","1Fam",105000,1915
"1406","TwnhsE",275000,2004
"1407","1Fam",133000,1972
"1408","1Fam",112000,1985
"1409","1Fam",125500,1910
"1410","1Fam",215000,1986
"1411","1Fam",230000,2001
"1412","1Fam",140000,1950
"1413","Duplex",90000,1949
"1414","1Fam",257000,2005
"1415","1Fam",207000,1923
"1416","TwnhsE",175900,2007
"1417","2fmCon",122500,1885
"1418","1Fam",340000,1998
"1419","1Fam",124000,1963
"1420","1Fam",223000,1969
"1421","1Fam",179900,1968
"1422","TwnhsE",127500,1977
"1423","TwnhsE",136500,2003
"1424","1Fam",274970,1966
"1425","1Fam",144000,1958
"1426","1Fam",142000,1959
"1427","1Fam",271000,1994
"1428","1Fam",140000,1945
"1429","1Fam",119000,1940
"1430","1Fam",182900,1981
"1431","1Fam",192140,2005
"1432","TwnhsE",143750,1976
"1433","1Fam",64500,1927
"1434","1Fam",186500,2000
"1435","1Fam",160000,1977
"1436","1Fam",174000,1962
"1437","1Fam",120500,1971
"1438","1Fam",394617,2008
"1439","1Fam",149700,1957
"1440","1Fam",197000,1979
"1441","1Fam",191000,1922
"1442","TwnhsE",149300,2004
"1443","1Fam",310000,2008
"1444","1Fam",121000,1916
"1445","1Fam",179600,2004
"1446","1Fam",129000,1966
"1447","1Fam",157900,1962
"1448","1Fam",240000,1995
"1449","1Fam",112000,1910
"1450","Twnhs",92000,1970
"1451","Duplex",136000,1974
"1452","1Fam",287090,2008
"1453","TwnhsE",145000,2005
"1454","1Fam",84500,2006
"1455","1Fam",185000,2004
"1456","1Fam",175000,1999
"1457","1Fam",210000,1978
"1458","1Fam",266500,1941
"1459","1Fam",142125,1950
"1460","1Fam",147500,1965
